	5dhg_	4djh_	4n6h_	4dkl_	6c1r_	3odu_	5t1a_	4mbs_	5lwe_	5vbl_	4zud_	5ung_	3vw7_	5ndd_	4xnw_	4pxz_	4zjc_	4s0v_	5zbq_	5x93_	4xes_	1u19_	5uen_	4eiy_	5x33_	4phu_	5xsz_	5tgz_	3v2y_	4z35_	4ib4_	5wiv_	6cm4_	3pbl_	4bvn_	2rh1_	3rze_	4iar_	3uon_	5dsg_	5cxv_	4u15_	5zkq_
TA2R	20	17.45	16.88	17.87	18.06	16.31	12.93	12.39	14.47	12.76	17.84	16.25	18.45	16.17	17.87	18.38	15.61	14.35	17.43	14.17	19.76	17.83	17.01	16.1	16.38	18.75	15.06	18.57	15.19	13.7	16.88	16.17	15.28	14.96	18.8	15.81	17.3	14.89	15.35	13.69	15.77	14.58	14.81
GPBAR	15.17	13.56	16.57	14.12	16.57	14.75	14.84	14.97	12.5	17.39	13.19	12.22	12.57	8.43	8.29	9.39	11.67	12.71	11.6	13.47	12.83	11.3	14.44	12.64	19.21	22.62	11.41	13.74	16.2	13.81	12.5	16	13.95	16	16.85	15.73	14.94	14.04	14.36	16.02	16.57	13.26	12.02
GPR18	23.55	23.66	22.61	25	22.66	26.17	23.44	23.85	22.69	24.25	25.28	24.53	24.25	26.77	26.1	24.44	18.42	18.8	19.32	20.07	18.73	20.45	14.5	14.18	18.43	18.22	26.74	15.83	16.22	13.62	20.31	19.38	19.22	18.92	18.04	17.65	16.73	17.9	17.86	17.06	17.06	17.13	22.14
PAF	22.85	24.91	22.51	25.37	20.68	24.07	25.28	25.64	24.46	26.45	26.45	26.01	26.84	27.74	28.16	30.63	21.64	24.54	20.59	17.54	18.55	21.24	15.93	19.1	23.13	20.31	28.33	16.67	19.01	20.09	16.79	21.84	19.53	21.76	20.61	19.08	20.38	18.32	18.58	18.97	18.97	19.05	100
GPR119	20.38	20.31	19.54	19.16	22.05	20.39	18.82	17.76	18.99	21.97	21.8	17.49	16.73	15.21	14.23	20.7	20.15	20.07	15.16	19.05	16.07	17.86	25.09	27.7	21.34	16.27	18.08	23.38	22.63	22.48	22.66	24.19	22.06	22.55	25	26.62	25	20.58	22.52	23.28	25.57	25.29	17.18
GPR42	26.05	22.9	23.57	23.28	21.62	22.75	22.35	22.39	22.81	23.77	22.73	23.37	31.11	29.37	27.55	23.66	20.31	21.01	21.92	22.47	21.76	21.56	17.56	18.46	22.01	33.21	25.75	18.01	17.05	19.72	21.01	26.36	20.87	23.94	19.07	19.07	19.69	19.38	24	23.2	23.6	22.89	23.05
GPR55	25.38	24.43	24.52	24.23	24.12	22.99	23.08	23.11	25.38	26.12	23.97	24.15	25.66	25.19	24.72	20.36	21.89	20.3	22.14	20.8	19.03	17.65	17.44	20.08	20.38	23.2	31.54	12.36	16.6	16.28	19.46	18.43	20.47	21.88	18.58	17.79	15.54	16.47	18.7	19.92	20.33	20	25
MT1	25.29	25.77	24.05	25.29	22.57	19.16	22.43	20.91	22.99	23.19	23.22	21.29	21.62	21.24	23.66	20.62	23.64	24.28	25.36	21.9	20.07	21.92	23.42	27.41	19.92	15.6	18.53	19.85	21.97	19.72	26.49	25.65	27.92	26.49	25.37	23.33	26.52	24.54	24.32	23.94	23.17	24.71	22.39
MT2	25.19	24.03	24.32	22.87	19.29	21.71	20.77	20.38	26.36	23.19	24.91	19.01	19.14	21.09	22.69	16.54	24.36	24.28	27.44	23.62	22.74	18.72	25.47	23.6	23.17	18.47	17.19	21.59	23.66	21.4	23.51	25.09	25.86	25.28	25.28	21.72	26.52	24.44	24.32	25.48	25.87	24.71	19.92
A1R	22.14	23.19	21.97	23.19	21.96	21.88	18.36	19.62	18.73	21.72	21.93	18.8	17.6	17.54	19.23	17.51	27.74	27.64	19.71	21.66	16.13	18.06	100	52.68	22.66	14.89	20.38	24.82	21.69	22.62	26.18	29.09	32.09	29.04	30.8	29.5	30.07	27.64	25.95	27.1	28.24	27.2	15.93
A2AR	24.23	25.77	25.1	24.14	21.74	18.75	19.14	20	18.8	22.81	22.56	21.67	19.33	17.34	19.23	18.15	28.62	28.16	22.1	22.63	20.94	22.03	52.68	100	22.13	16.99	16.92	26.18	25.83	24.89	27.64	30.77	33.33	29.2	32.73	32.5	31.99	28.99	27.24	27.63	29.57	30.86	19.1
A2BR	26.52	24.62	25.84	23.4	23.35	19.69	20.85	22.81	18.52	24.34	21.85	20.22	18.73	17.1	16.79	19.54	26.01	25.18	22.02	20.28	20.79	22.94	49	62.17	24.51	20.08	16.36	26.71	20.15	24.89	27.17	30.18	31.34	27.11	33.57	32.62	30.91	28.16	25.77	26.92	26.92	28.57	17.52
A3R	20.69	22.52	21.67	22.14	18.9	21.18	18.82	19.31	19.17	20.3	21.27	19.62	17.42	15.79	17.37	15.69	27.14	27.78	18.12	20.65	19.86	16.89	50.85	43.25	21.18	15.38	17.87	22.43	22.22	23.74	27.01	26.64	28.36	27.31	30.04	28	27.01	26.01	26.44	28.35	29.89	26.92	16.04
MC1R	21.01	21.76	20.92	20.08	19.65	20.76	18.64	19.41	22.03	19.92	18.26	18.91	19.66	19.92	17.57	23.08	23.65	23.14	20.33	21.63	17.86	17.51	25.21	24.38	22.03	21.15	18.99	26.23	26.23	22.75	21.16	23.87	21.25	21.16	28.1	27.27	23.31	26.78	24.1	25.7	23.69	23.39	18.57
MC2R	19.57	19.49	20.76	18.22	19.65	19.92	20.76	19.83	20.76	20.51	16.32	16.53	15.95	19.31	18.49	19.05	22.59	22.5	18.41	19.01	18.07	14.49	26.36	28.87	13.98	11.56	18.8	29.88	26.97	26.44	20.92	21.58	24.37	22.59	27.92	26.25	24.79	27	21.86	23.48	23.48	22.76	22.22
MC3R	23.11	20.92	22.59	20.92	17.9	17.37	19.92	19.83	22.46	20.34	18.67	17.65	20.51	20.34	19.67	20.09	25.31	25.62	16.6	20	18.25	16.2	28.93	29.34	16.1	15.86	18.57	28.28	27.87	30.81	21.16	26.75	26.25	25.73	27.69	26.86	24.58	28.45	25.3	26.51	23.29	25.4	17.72
MC4R	20.59	22.18	20.08	20.08	17.9	17.8	14.41	15.19	19.07	17.8	15.77	17.23	20.94	19.92	19.25	18.38	24.07	25.62	18.26	21.63	18.25	17.13	26.45	29.34	14.41	15.42	16.03	27.46	26.64	27.49	21.99	23.87	24.17	21.58	28.93	27.27	24.15	27.62	25.3	23.69	22.09	26.21	17.72
MC5R	22.27	21.34	20.08	19.67	19.65	15.68	15.25	15.19	19.07	18.64	15.35	17.65	18.38	19.07	17.99	17.09	24.07	23.55	17.43	20	15.87	17.13	28.51	28.93	17.8	15.86	17.3	26.64	27.05	28.44	19.09	23.87	23.75	24.07	26.86	24.38	24.15	26.36	22.89	23.29	20.88	23.39	18.57
Rhodopsin	20.89	20.09	20	21.43	23.11	18.98	19.07	20.09	20.09	20.7	24	21.52	20.91	20.36	19.37	20.72	18.22	17.7	23.21	20.6	21.79	100	18.06	22.03	19.35	17.22	20	18.22	19.03	18	19.64	23.08	24.77	26.03	19.91	20.81	18.75	19.11	23.01	20.35	20.8	21.78	21.24
ShtWOps1	22.22	20.98	21.33	19.64	22.17	17.13	18.14	16.44	12.79	16.74	17.78	19.73	18.64	19.46	18.92	15.32	22.67	21.68	21.88	20.6	17.95	46.85	18.5	20.7	15.21	21.53	20.89	20	16.81	18	20.09	21.72	18.69	19.63	20.81	18.1	20.09	20.44	19.47	18.58	17.26	16.89	18.14
MdWOps1	19.56	20.09	23.56	21.43	25.47	19.44	20	20.55	16.89	20.7	22.22	21.08	16.36	18.1	18.47	16.67	18.22	19.91	25.89	19.74	17.52	45.45	24.23	23.35	18.43	17.22	20.44	19.56	19.91	18	20.54	23.53	22.9	24.66	21.27	22.62	20.98	20.89	23.45	23.45	22.57	23.56	18.58
LgWOps1	18.22	20.54	22.67	21.43	24.53	18.52	19.07	19.63	15.53	19.38	20	19.73	15.45	18.55	18.02	17.12	18.22	19.03	25.45	19.31	17.95	44.06	23.79	22.91	17.97	17.22	19.56	19.11	19.47	16.4	20.54	23.08	22.9	23.74	21.27	22.17	20.98	21.33	22.57	23.45	22.12	23.56	18.14
Opsin3	20.15	19.77	21.97	20.08	21.26	20.87	19.69	20.16	21.48	20.99	22.26	18.39	15.38	18.39	17.9	18.43	21.64	21.56	26.47	20.07	18.25	30.97	23.05	22.68	20.39	19.11	18.15	22.06	19.33	22.48	21.4	19.03	21.21	21.72	24.16	23.05	22.47	23.05	20.78	21.57	21.57	20.47	18.32
Melanopsin	25	23.11	22.26	21.51	24.71	24.61	22.27	22.69	24.71	25.76	22.47	21.67	19.92	19.08	23.64	18.75	24.63	21.98	23.19	20.14	21.22	26.09	27.01	25.55	23.44	19.43	23.85	23.19	23.16	20.27	22.1	23.08	24.25	22.06	26.74	26.18	23.44	26.28	21.32	21.71	25.58	22.57	19.39
Opsin5	25.22	22.67	19.47	21.78	23	22.12	22.22	21.36	20.91	22.03	22.57	21.52	18.55	22.52	19.73	17.49	17.33	17.26	21.78	18.8	18.72	25.87	20.18	21.05	23.39	19.05	18.58	19.47	18.94	18.25	18.3	19.82	21.86	22.73	21.62	20.72	22.32	21.68	22.57	19.91	19.47	20	20.26
BB1	27.88	26.77	26.81	25.75	20.91	24.09	27.41	23.19	25.27	29.09	28.67	29.45	24.52	26.52	24.81	23.99	29.39	27.86	25.89	32.78	24.22	20.52	21.61	24.26	25.56	17.13	20.65	20.96	21.11	20.44	21.56	22.39	23.86	20.97	22.79	24.18	21.27	21.11	21.62	21.24	22.01	25.58	20.43
BB2	26.02	27.14	26.81	25.75	19.77	25.18	22.59	18.12	21.25	28.36	24.73	27.64	21.84	23.86	27.04	21.4	28.32	28.21	26.15	32.67	23.88	20.09	20.07	22.79	25.19	16.33	20.58	20.59	20	18.67	23.42	21.64	21.59	22.1	23.9	24.18	19.7	20.37	22.39	22.78	22.39	25.58	20
BB3	29.74	29.37	27.54	29.1	22.05	25.18	22.96	22.46	20.51	26.18	26.52	30.18	21.37	25.38	24.72	21.69	27.14	28.47	25.35	32.33	23.45	21.74	21.45	22.71	22.93	17.13	19.06	20.15	18.82	17.26	22.96	22.3	21.97	22.39	25	26.37	20.37	20.3	22.78	20.85	22.78	24.42	19.93
ETA	24.63	27.11	25.71	27.21	22.47	23.74	21.9	21.28	21.86	26.15	23.67	21.43	16.79	22.14	21.38	20.65	25	24.91	24.29	69.06	23.18	18.1	23.47	19.71	21.77	18.36	20.92	16.79	18.75	19.91	20.96	21.69	22.1	21.48	21.82	21.38	22.3	22.06	22.22	23.75	22.61	21.15	15.44
ETB	25.18	26.18	24.47	26.28	20.9	21.15	24	22.26	22.14	26.41	22.54	21.71	18.66	22.88	25.36	22.46	25.18	25.09	23.76	100	23.88	20.6	21.66	22.63	20.88	20.31	19.86	20.44	22.43	18.5	21.32	22.06	22.85	20.74	21.82	22.1	21.56	22.43	22.52	22.52	22.52	22.22	17.54
NK1	26.14	27.27	26.79	24.24	23.94	24.62	24.14	22.43	24.05	24.81	23.25	24.91	20.23	21.37	22.73	20.38	29.89	29.43	30.63	23.19	26.33	21.24	20.88	24.26	25.87	15.87	21.97	19.93	20.07	19.72	22.18	23.62	25.94	25.65	25.28	26.94	21.11	22.06	22.22	23.37	21.07	22.61	21.67
NK2	25.48	24.33	23.86	24.33	28.29	27.03	26.15	25.19	24.52	24.81	23.33	24.16	21.46	23.37	21.67	19.69	32.03	30.25	31.8	22.91	25	22.22	22.06	26.2	29.46	18.73	22.43	21.85	19.78	23.5	24	24.07	26.79	28.36	23.88	27.78	22.96	22.88	23.08	25.38	26.15	23.85	19.85
NK3	24.81	27.1	25.86	25.57	26.46	22.48	25.1	23.37	26.54	22.76	23.79	23.97	21.07	21.07	23.28	21.62	29.54	30.14	32.16	24	23.93	21.68	21.98	24.26	26.74	17.53	24.43	18.45	21.56	20.18	24.36	22.14	25.94	25.28	24.54	29.15	24.44	21.32	23.37	24.9	22.99	25.29	20.15
OX1	29.89	30.04	28.63	29.12	22.57	25.67	23.37	19.77	23.75	22.68	23.7	22.3	23.11	26.52	25	16.92	100	78.91	27.18	25.18	23.59	18.22	27.74	28.62	25.97	19.76	23.51	22.3	22.1	21.66	22.26	26.59	28.41	27.07	28.36	25.56	25.65	25.09	23.55	23.55	24.32	23.94	21.64
OX2	29.77	28.79	29.66	30.92	22.48	28.24	24.05	20.45	21.76	21.19	25.46	21.93	21.89	25.28	26.39	19.1	78.91	100	27.43	25.09	22.11	17.7	27.64	28.16	26.25	18.11	23.79	21.85	22.76	23.39	22.99	25.75	29.43	28.09	29.37	27.31	23.42	25.74	25	22.69	24.62	25.77	24.54
CCK1	29.28	27.55	26.52	27.76	23.35	24.52	24.9	25.1	25.48	25.46	25.37	26.2	21.09	21.01	21.21	23.11	30.58	30.22	30.11	21.55	24.3	26.11	24.91	29.81	28.19	18.95	20.6	19.63	20.22	21.56	28.62	26.14	28.57	24.81	28.9	27	24.72	24.91	28.4	28.79	28.79	27.63	17.78
CCK2	28.79	26.52	26.79	26.52	23.83	26.54	23.85	23.28	25.95	28.62	23.99	23.42	20.23	20.16	20.23	23.75	29.71	31.05	30.22	20.85	25.35	22.91	25.37	25.75	28.19	22.27	19.32	19.85	17.54	19.18	28.78	25.47	25.57	25.28	28.79	26.69	23.05	24.63	26.74	25.58	27.13	24.42	18.35
NPFF1	29.92	27.44	26.04	24.24	25	26.24	25.86	23.77	25	26.1	28.21	25	20.15	20.45	20.6	18.49	37.88	36.52	33.45	23.76	23	21.24	25.99	24	27.2	20.78	20.6	22.22	24.25	24.77	23.64	26.12	25.38	28.95	27.31	26.01	24.63	25.74	22.81	23.95	23.95	22.81	18.45
NPFF2	27.92	28.09	27.44	26.79	23.37	24.24	25.38	25.56	23.77	23.16	27.11	28.41	20.08	21.13	26.49	20.3	36.08	36.64	33.1	23.94	20.28	20.26	27.44	26.64	25.95	16.41	23.79	20.45	24.34	22.37	26.37	24.72	30.42	26.79	25.56	27.94	23.62	27.47	24.33	24.33	25.1	25.86	21.25
Y1R	26.97	25.75	28.36	26.22	27.38	23.4	25.94	26.59	24.06	22.88	25.18	26.67	21.13	20	24.34	19.25	27.18	27.43	100	23.76	18.18	23.21	19.71	22.1	25.57	18.75	22.3	19.85	20.07	16.36	21.61	20.3	24.81	24.81	21.53	21.74	20.59	22.26	20.08	19.32	20.83	21.59	20.59
Y2R	26.82	26.82	24.05	23.37	23.26	25.77	21.15	20.61	24.9	27.51	26.39	24.63	20.46	19.31	23.37	16.73	32.5	33.93	33.33	24.73	22.5	19.82	21.61	22.3	26.74	18.88	20.61	20.22	21.13	18.22	24.63	23.22	25.57	26.79	28.84	27.51	21.77	26.02	23.85	22.31	24.23	24.23	20.15
Y4R	27.72	24.63	27.99	25.84	23.57	24.81	21.35	20.52	20.68	22.51	25.55	27.41	18.87	22.64	24.63	20.3	27.62	27.87	48.64	23.4	23.51	20.98	17.99	21.17	23.66	17.12	20.74	18.89	16.73	20	18.52	21.27	23.19	24.34	21.61	20.51	19.7	24.35	21.97	22.35	20.83	21.59	21.98
Y5R	26.22	24.25	23.51	23.22	23.19	23.77	22.18	21.64	22.93	22.14	20.44	20.37	18.42	18.73	22.39	17.98	24.57	26.55	32.08	22.97	18.75	19.47	20.36	20.07	22.9	19.07	20.07	16.06	16.24	15.84	20.8	16.91	22.1	23.25	23.36	20.65	20.3	21.09	20.53	21.67	19.01	17.87	16.54
Y6R	24.44	23.89	25.33	23.11	24.32	22.62	23.42	24.22	21.27	23.45	22.71	23.56	19.82	24.22	23.32	21.27	24.69	26.23	53.39	23.11	20.33	20.77	17.72	23.08	25.81	19.73	23.21	18.61	19.38	14.53	20.78	16.16	22.67	20.18	19.23	22.03	20.78	21.98	17.57	16.67	19.37	19.37	17.98
PRRP	32.83	30.94	29.32	29.06	26.92	24.9	24.43	24.62	23.19	28.41	27.21	24.44	23.66	23.66	23.11	23.46	33.33	31.8	32.87	25	24.47	19.91	24.36	23.81	29.23	21.83	22.14	21.11	20.15	19.72	20	26.94	23.77	24.16	26.39	25.46	21.32	23.44	22.81	26.24	23.19	21.29	21.89
V1AR	21.62	24.62	26.25	25.97	21.51	18.75	19.14	20.54	20.54	23.66	20.75	21.21	17.46	18.18	20.16	20.23	25.91	26.55	20	19.2	22.06	17.94	20.38	20.99	24.11	16.46	18.85	19.85	20.93	17.37	20.08	22.01	24.02	24.12	21.71	20.38	22.35	24.24	22.96	23.74	21.4	19.84	20.08
V1BR	23.37	20.61	24.14	22.31	21.34	19.38	20.93	22.69	18.08	23.28	22.1	21.59	18.9	16.08	17.31	16.22	23.36	22.91	19.86	20.5	19.43	21.08	19.1	20.08	26.27	16.8	19.08	17.42	21.15	17.67	23.48	24.14	20.31	22.01	22.31	18.7	22.73	22.18	23.35	21.79	22.18	20.23	17.29
V2R	24.62	22.61	25	23.17	20.63	19.14	19.92	20.93	19.38	24.62	20.38	22.22	18.97	21.26	18.6	21.4	25.27	22.99	19.2	17.75	20.49	16.96	16.54	19.01	27.17	15.23	16.92	20.53	18.92	20.83	19.01	24.62	20.39	19.38	23.94	21.46	19.39	22.26	18.99	18.99	19.77	18.22	19.7
OTR	22.83	19.22	22.05	20.95	19.51	24	20	21.03	20.63	22.96	20.08	21.24	19.43	18.47	20.63	17.6	25.28	24.54	19.78	19.33	18.91	19.63	17.76	20.62	24.19	14.29	20.24	19.46	20.55	19.14	21.54	24.02	20.48	21.83	24.11	20.78	22.01	21.62	22.62	22.62	23.81	21.03	20.31
NPS	18.75	21.79	19.46	19.22	20.24	22.92	20.24	20.39	19.92	21.46	23.57	20.91	21.51	20.63	21.88	21.74	21.93	22.3	17.1	21.69	21.94	19.82	17.94	21.54	22.71	15.23	21.4	18.99	21.26	19.25	21.54	22.27	22.71	23.14	22.35	22.57	21.46	20.46	22.66	22.27	23.44	22.75	19.69
GNRH	19.84	20.16	19.44	21.12	22.76	23.39	21.37	19.6	20.48	23.35	21.71	21.32	23.17	20.65	19.92	18.33	22.59	21.48	17.78	20.07	19.49	18.35	16.15	17.12	21.14	18.52	21.74	16.34	16.21	16.75	18.08	20.87	20.08	19.76	20.55	19.22	19.92	18.99	21.2	22	20.8	21.2	20.62
NMU1	30.08	28.36	31.09	29.7	22.61	23.4	24.53	23.22	24.34	26.47	26.09	25	22.35	24.15	23.25	21.56	27.21	26.76	19.86	25	32.09	26.2	20.14	21.82	24.43	21.74	20.22	20.07	18.32	21.27	26.45	29.67	28.36	28.04	24.18	22.99	23.81	22.18	26.24	27.76	23.19	22.81	19.27
NMU2	30.45	30.22	26.59	29.7	24.52	22.26	25.66	25.84	22.1	20.22	26.45	29.41	21.59	22.26	21.77	20.82	25.53	25.8	25.17	24.65	32.88	24.02	23.38	25.55	24.81	17.39	22.79	20.88	19.41	18.55	26.55	27.21	29.21	26.67	25.74	25.27	22.79	25.18	25.1	23.95	23.57	23.19	20
TRHR	30.08	27.61	27.72	27.34	23.08	20.69	23.37	20.83	19.01	23.79	22.06	25.75	21.37	22.81	19.7	17.11	29.82	27.9	19.5	20.14	25.44	25.66	23.38	28.1	19.62	14.29	19.1	21.45	19.78	17.35	25.64	21.53	24.91	23.53	27.21	23.08	22.79	25.37	25.57	24.81	23.28	25.29	18.08
GHSR	27.44	27.72	27.34	24.81	22.99	24.05	22.81	19.92	22.85	23.33	23.62	22.76	22.43	20.91	21.27	19.48	28.52	25.18	23.4	23.78	35.99	19.38	21.61	21.48	24.71	22.4	20.74	17.34	17.47	20.55	25.09	29	30.19	28.84	23.6	22.01	21.64	22.96	25.19	25.19	25.97	24.42	18.32
MTLR	28.52	26.69	28.03	26.89	25.77	23.37	22.9	20.38	19.92	25.56	24.07	22.85	23.6	24.72	23.31	21.51	25.71	24.56	23.24	24.38	39.58	22.22	19.08	19.65	29.62	20.53	20.15	19.7	18.35	18.69	23.7	27.88	26.42	24.72	23.36	21.45	21.19	25.56	25.19	23.26	24.81	24.03	20.96
NTSR1	28.73	29	25.65	26.12	22.52	23.6	24.34	22.3	25	23.81	23.1	19.78	19.92	22.1	25.74	19.63	23.59	22.11	18.18	23.88	100	21.79	16.13	20.94	24.62	16.08	19.49	16.97	17.88	18.22	22.74	24.82	27.14	25.74	20.8	21.45	18.98	23.1	22.3	24.54	23.05	21.93	18.55
NTSR2	23.31	22.01	23.97	23.68	21.84	19.55	22.18	22.01	21.72	22.43	20.29	20.22	18.8	19.1	21.98	16.54	20.92	21.91	17.19	23.18	45.48	20.51	18.77	18.68	25.19	22.66	17.09	16.48	14.81	12.44	21.25	23.62	22.64	22.39	25.56	22.14	19.19	22.26	17.47	17.1	20.45	20.07	19.86
LGR6	17.75	12.93	16.74	12.55	16.22	18.5	14.6	13.1	15.22	18.49	13.62	14.96	16.16	16.09	15.28	14.67	15.65	14.35	15.45	11.34	15.13	17.94	15.88	15.65	17.9	13.18	10.43	14.85	17.03	15.57	19.13	17.54	15.7	20.18	18.5	18.5	16.96	14.91	15.38	16.67	18.8	14.59	15.95
LGR5	15.09	15.95	14.41	14.66	15.25	15.65	12.66	12.93	16.67	17.72	16.95	16.74	15.15	15.45	14.85	14.54	17.03	17.83	14.89	15.7	15.9	17.12	16.87	18.6	14.78	13.27	16.53	17.32	18.7	16.74	16.59	16.16	15.18	15.28	13.42	16.45	16.23	19.57	16.67	14.96	17.52	15.88	14.71
LGR4	14.29	15.09	15.45	14.29	17.57	19.82	17.26	16.59	19.05	17.3	19.07	17.17	13.48	15.58	14.85	18.22	17.47	16.96	17.95	12.97	14.23	18.02	17.45	13.79	15.22	13.18	15.15	14.78	13.48	13.21	15.72	15.28	15.62	16.23	17.54	17.98	17.98	15.72	14.1	13.25	15.38	15.02	17.6
TSHR	18.97	18.1	19.92	18.1	17.49	20	17.03	15.52	18.75	19.83	18.22	19.74	19.48	20.17	18.78	18.06	20.96	20.43	18.72	21.07	11.72	18.92	18.93	21.9	19.13	15.04	18.22	15.15	20	20.47	16.16	16.59	18.3	17.03	19.91	23.38	18.42	16.96	19.57	17.87	20	19.23	18.49
LSHR	17.54	18.34	19.21	18.42	20.09	21.43	17.49	16.37	19.47	17.95	21.21	18.7	17.33	19.03	19.91	18.47	21.59	21.15	20.43	19.23	14.04	18.55	19.65	21.24	18.22	14.81	17.7	15.93	20.35	20	19.82	18.67	18.18	17.78	22.22	23.56	21.05	17.33	18.53	17.67	21.55	20.78	19.3
FSHR	20.26	17.67	21.19	18.53	19.28	22.61	20.96	18.1	21.25	18.99	22.46	19.74	18.18	18.45	17.03	16.3	20.09	20.43	21.28	21.07	14.64	16.67	20.58	21.9	18.26	17.26	16.53	17.32	20.87	20.93	21.83	19.21	19.2	18.78	20.35	23.38	18.42	18.26	20	17.45	21.7	20.51	17.23
MRGPRG	17.39	17.48	18.27	16.99	21.83	21.5	18.59	18.5	16.67	18.45	19.23	20.59	14.98	17.56	16.99	14.08	16.67	15.61	16.5	16.51	14.35	15.48	17.14	17.14	17.07	21.72	15.31	17.87	14.56	16.45	15.2	17.96	17.5	21.57	16.1	17.07	14.22	16.43	16.83	16.83	18.27	16.91	16.11
MRGPRE	20.19	19.91	19.72	19.81	23.15	19.05	16.91	18.48	19.05	18.18	20.38	19.32	19.43	20	17.54	15.57	15.31	14.29	17.92	16.22	15.84	15.38	15.89	16.2	23.08	18.91	18.14	14.02	13.21	12.5	15.24	17.45	16.99	17.06	12.96	14.81	15.24	15.89	17.45	19.34	17.45	17.54	14.29
MRGPRX3	21.5	22.54	23.26	23	22.66	18.93	20.39	19.81	18.96	20.75	19.16	24.76	19.25	18.96	19.81	17.06	19.05	19.43	20.28	19.72	16.82	15.45	19.91	19.44	19.81	17.73	19.07	17.45	20.28	18.75	14.29	18.87	20.39	19.05	18.48	18.01	20	17.84	17.84	18.78	18.31	16.98	17.05
MRGPRD	21.86	19.25	20.93	20.56	23.67	19.81	16.35	17.31	21.43	20	19.34	20.67	20.28	20.95	18.87	16.36	18.48	19.34	19.63	20.18	16.14	17.41	16.36	16.82	20.48	18.32	18.69	17.29	18.4	20	16.11	19.81	19.42	18.96	17.92	18.87	16.67	17.21	16.28	18.14	19.07	20.47	17.13
MAS1	19.25	19.81	18.69	18.87	21.18	19.02	18.05	16.02	19.05	21.23	17.76	20.48	19.63	22.17	16.04	15.64	18.48	17.92	15.02	16.51	16.59	15.38	16.06	14.22	18.48	17.56	20.47	11.16	16.36	15.97	14.55	19.16	16.83	18.4	15.89	15.89	17.84	13.43	18.22	18.69	15.42	15.02	18.43
MRGPRF	18.48	19.62	19.91	18.57	23.53	20.2	18.63	19.12	19.42	21.26	20.1	19.51	16.75	17.87	21.05	13.74	16.83	16.27	20.85	17.21	19.09	13.99	20.28	19.72	20.39	18.59	18.48	16.43	16.11	15.32	14.29	20.85	18.05	20	15.17	14.69	16.75	15.89	18.1	19.52	17.62	16.67	16.9
MAS1L	18.96	17.22	19.16	17.62	24.88	17.96	16.99	16.43	19.82	16.27	18.48	19.81	19.05	18.1	19.14	15.24	17.96	17.39	16.75	16.97	14.29	14.23	18.72	19.09	18.75	18.36	17.05	16.98	16.67	15.25	14.83	15.64	17.96	19.52	15.09	16.51	18.75	19.34	19.62	19.62	19.14	19.23	16.89
MRGPRX4	21.76	23.33	22.86	23.33	25.75	20.17	20.85	20.66	18.11	23.17	20.16	22.63	18.62	19.18	20.5	20.43	19.84	20.24	18.88	20	17.46	16.18	20.7	19.52	22.55	18.14	19.34	18.47	21.77	21.72	16.73	19.43	21.49	20.9	22.13	19.37	19.12	20.4	19.83	19.83	20.66	19.5	17.48
MRGPRX1	22.59	22.5	22.22	23.33	24.89	19.49	22.55	21.25	18.93	22.76	21.4	23.46	17	19.18	20.08	20.85	21.86	21.86	19.68	20.16	18.65	17.16	19.92	18.73	23.83	19.83	19.34	17.67	20.97	20.2	17.53	20.65	20.66	19.26	21.83	18.65	19.92	20	19.01	19.01	20.25	19.09	17.48
MRGPRX2	21.07	20.16	17.89	19.75	22.36	21.01	20.25	19.01	17.14	23.2	20.65	21.05	17.53	16.47	17.7	17.57	18.73	19.52	16.21	19.07	17.58	15.46	18.85	20.39	23.53	18.67	16.19	19.84	19.52	18.5	17.65	17.93	20.73	20.16	21.88	18.75	19.61	20.08	19.67	19.67	22.13	20.16	17.2
RXFP2	16.67	17.01	17.77	16.18	19.21	18.1	15.58	14.96	17.01	18.93	19.5	21.85	13.56	14.71	17.24	14.66	18.3	17.8	18.18	21.37	17.89	14.72	20.4	17.81	20	14.35	18.41	15.06	16.39	17.27	16.95	22.46	20.43	18.3	21.61	21.61	20.43	19.41	19.67	19.67	19.67	18.93	17.7
RXFP1	17.5	19.09	19.42	18.26	16.59	18.53	16.02	15.38	18.6	19.34	17.84	18.91	15.68	15.13	18.53	13.79	21.7	20.34	17.36	21.37	17.48	16.02	21.91	18.55	21.28	14.72	18.75	17.15	17.23	16.82	17.8	20.34	20	17.45	22.46	21.61	20.85	19.41	16.8	18.03	16.8	16.87	18.44
P2Y13	23.37	24.43	22.43	24.14	21.46	24.53	22.35	23.97	21.72	24.63	25	21.89	23.6	23.05	23.64	51.05	21.05	20.6	18.11	18.48	18.15	19.37	19.46	20.46	18.08	18.65	23.51	18.22	16.34	18.72	19.84	18.04	18.65	17.12	18.11	16.14	22.71	17.9	17.89	17.07	17.89	18.29	26.41
P2Y12	24.14	26.34	22.81	26.44	21.46	24.91	24.62	26.59	21.72	23.88	26.12	23.4	22.1	26.39	24	100	16.92	19.1	19.25	22.46	19.63	20.72	17.51	18.15	21.15	19.44	26.32	16.67	19.46	17.35	21.01	20	21.83	21.01	22.83	20.47	19.52	20.23	21.95	20.73	19.51	20.73	30.63
